clase	gismu	
Grand Total		
1 Total	jimpe	x_1 は x_2 （命題）を x_3 （題目）について理解する； x_1 は x_3 がわかる
1	jimpe	x_1 は x_2 （命題）を x_3 （題目）について理解する； x_1 は x_3 がわかる
1	morji	x_1 は x_2 （命題）を x_3 （題目）について思い出す／回想する
1	smadi	x_1 は x_2 （命題）を、 x_3 （題目）について推測する
1	facki	x_1 は x_2 （命題）を x_3 （題目）について発見する； x_1 は x_3 （物）を見つける／探し当てる
1	krici	x_1 は x_2 （命題）を x_3 （題目）について信じる
1	sruma	x_1 は x_2 （命題）が x_3 （題目）について本当であると仮定する
1	jijnu	x_1 は x_2 （命題）を x_3 （題目）について直感する／勘づく
1	jdice	x_1 （者）は x_2 （命題）であると x_3 （題目／事）について決める／定める
1	djuno	x_1 は x_2 （命題）・ x_3 （題目）を x_4 （認識体系）で知る
1	jinvi	x_1 は x_2 （命題）・ x_3 （題目）を、 x_4 （根拠）により真であると考える； x_1 は x_2 だと思う
1	cilre	x_1 は x_2 （命題）・ x_3 （題目）を x_4 （情報源）から x_5 （方法）によって習う
1	xusra	x_1 は x_2 （命題）を事実的内容として断言／宣言する
1	birti	x_1 は x_2 （命題）が真であると確信している
1	senpi	x_1 は x_2 （命題）の真実性を疑う； x_2 は信憑性に欠ける
1	pacna	x_1 は x_2 （事）を x_3 （見込み）で希望する／願う； x_2 は望まれている
1	pajni	x_1 は x_2 （事）について審判する／仲裁する
1	tugni	x_1 （者）は x_2 （者／観点／側）にたいし、 x_3 （命題）・ x_4 （題目）について賛成／賛同／同意する
1	ctuca	x_1 は x_2 （生徒／門下生）に x_3 （命題）・ x_4 （題目）を x_5 （方法）で教える
1	darlu	x_1 は x_2 （観点）を x_3 （観点）に対して論理的・倫理的な根拠から擁護／主張する
1	sitna	x_1 は x_2 を x_3 （情報／発言）のために引用／参照する
2 Total	datni	x_1 は x_2 （題目）について x_3 （方法）で得たデータ／情報／統計
2	srana	x_1 は x_2 に関連する／関係がある
2	prosa	x_1 は x_2 （主題）・ x_3 （作者）・ x_4 （読者）の散文
2	cfika	x_1 は x_2 （内容）・ x_3 （著者）のフィクション作品
2	skina	x_1 は x_2 （内容）・ x_3 （制作者）・ x_4 （視聴者）の映画／アニメーション
2	lisri	x_1 は x_2 （題目／筋書／教訓）の、 x_3 （作者）から x_4 （聴者）への物語／説話
2	cukta	x_1 は x_2 （内容）・ x_3 （著者）・ x_4 （読者）・ x_5 （媒体）の本／文献
2	draci	x_1 は x_2 （内容）・ x_3 （作家）・ x_4 （観衆）・ x_5 （役者）の（舞台）劇
2	pemci	x_1 は x_2 （特徴）・ x_3 （作者）・ x_4 （読者）の詩
2	notci	x_1 は x_2 （題目）・ x_3 （作者）・ x_4 （読者）の覚え書き／メッセージ／メモ
2	karni	x_1 は x_2 （内容）・ x_3 （出版者）・ x_4 （読者）の刊行物／雑誌／新聞
2	citri	x_1 は x_2 （題目）・ x_3 （言説者）・ x_4 （観点）の歴史； x_1 は歴史的
2	ranmi	x_1 は x_2 （内容）・ x_3 （価値観／文化）の神話／伝説
2	sidbo	x_1 （抽象）は x_2 （物／事）の、 x_3 （思考者）による概念／観念／アイディア／コンセプト
2	jufra	x_1 （文字列）は x_2 （題目）の、 x_3 （言語）における文
2	pinka	x_1 は x_2 （主題）・ x_3 （作者）・ x_4 （読者）のコメント／評言； x_3 は x_2 について x_1 をコメントする
2	preti	x_1 （文字列）は x_2 （題目）に関する、 x_3 （者）から x_4 （者）への質問／質疑
2	nuzba	x_1 は x_2 （題目）・ x_3 （情報源）の、 x_4 （聴衆）へのニュース／新報
2	datni	x_1 は x_2 （題目）について x_3 （方法）で得たデータ／情報／統計
2	saske	x_1 （事実群）は x_2 （題目）・ x_3 （方法論）の科学的知識
2	cmaci	x_1 は x_2 （種類／表現内容）の数学
2	logji	x_1 （原理／法則）は x_2 （命題）を演繹／結論／推察するところの論理； x_2 は論理的
2	gerna	x_1 は x_2 （言語）の x_3 （性質）に関する文法
2	munje	x_1 は x_2 （領域／分野）・ x_3 （法則・原理）の世界
2	fatci	x_1 （命題）は事実／現実
2	jetnu	x_1 （命題）は x_2 （認識体系）において真実／本当
2	jitfa	x_1 （命題）は x_2 （認識体系）において偽／虚構／非真実／うそ
2	nibli	x_1 は x_2 （事）を x_3 （法則／論理／体系）において余儀なく含意する／もたらす； x_1 によって x_2 は絶対／まちがいなく起こる
2	natfe	x_1 （命題）は x_2 （命題）と矛盾する／を否定する
2	kanxe	x_1 は x_2 （命題）・ x_3 （命題）の連言
2	vlina	x_1 は x_2 （命題）・ x_3 （命題）の論理的選言（離接）／選言的判断
2	vreji	x_1 は x_2 （情報／事実／命題）・ x_3 （題目）・ x_4 （保存媒体）の記録
5 Total	ckaji	x_1 には x_2 の性質がある
5	ckaji	x_1 には x_2 の性質がある
5	zabna	x_1 は x_2 （対象）にたいする x_3 （意識者）の好意的な見方／意味合
5	mabla	x_1 は x_2 （対象）に関する x_3 （者）による中傷／悪口
5	simlu	x_1 は x_2 （性質）であるよう x_3 （者）に x_4 （状態条件）の下で見受けられる； x_1 は x_2 らしい気が x_3 にする
5	milxe	x_1 は x_2 （性質）の点で温和／穏やか／まろやか／マイルド； x_1 はあまり x_2 ではない
